codigo,nombre,ruta,ano,precio,formato,genero,tipo,descripcion,referencia
001,2pac - All Eyez On Me 2XLP,vinilos/2pac - All Eyez On Me 2XLP.jpg,2017,25.00,XLP,POP,VINILO,"Originally recorded in 1996 and remastered in 2001, 2pac's fourth studio album All Eyez On Me is now available to own on 2-disc vinyl. Featuring the Billboard Hot 100 singles California Love + How Do U Want It, it was the last record the rapper released before his tragic passing. One of the most acclaimed hip-hop records of the 1990s, All Eyez On Me made history as the first double-full-length hip-hop solo studio album released for the mainstream. 2001, Death Row Records.",Product Sku: 43174564 ; Color Code: 001
002,Arcade Fire - Everything Now LP,vinilos/Arcade Fire - Everything Now LP.jpg,2016,21.80,2XLP,POP,VINILO,"Everything Now is the fifth studio album by Arcade Fire and is now available here to own on vinyl. The Canadian indie rock band goes full-on disco, funk + dream-pop thanks to guest production by members of Daft Punk, Pulp + Portishead. Includes the singles Everything Now, Creature Comfort + Signs Of Life. 2017, Columbia Records.",Product Sku: 43798776 ; Color Code: 001
003,Beyonce - Lemonade 2XLP,vinilos/Beyonce - Lemonade 2XLP.jpg,2015,29.00,XLP,POP,VINILO,"Lemonade, Beyonce's visual sixth studio album, is now available to own on premium 180 gram yellow vinyl. Spread across two discs with an included download card for the accompanying 60-minute film, Lemonade won countless music + film accolades and features the singles Formation, Sorry, Hold Up, Freedom + All Night. 2016, Parkwood Entertainment.",Product Sku: 43362540 ; Color Code: 072
004,Bob Dylan - The Essential Bob Dylan 2XLP,vinilos/Bob Dylan - The Essential Bob Dylan 2XLP.jpg,1990,49.00,2XLP,POP,VINILO,"A compilation album, The Essential Bob Dylan is available here on 2-disc vinyl. Features songs from 1963's Blowin' In The Wind to 1999's Things Have Changed. An essential album for any Dylan fan, it's available here as a reissue. 2000, Columbia/Legacy.",Product Sku: 41517624 ; Color Code: 001
005,Bob Marley And The Wailers - Legend LP,vinilos/Bob Marley And The Wailers - Legend LP.jpg,1989,39.00,XLP,POP,VINILO,"A reissue of the ultimate Bob Marley album, Legend contains 14 of Marley's greatest songs, serving as both a comprehensive introduction as well as a timeless tribute to a musical master. Easily the best-selling reggae album of all time, Legend includes 10 of Marley's 11 top 40 UK hits current to the time of pressing, plus three songs from an earlier configuration of the Wailers with Peter Tosh and Bunny Livingston. Available here on vinyl with the original full-color cover art. 1984, Island.",Product Sku: 24710550 ; Color Code: 001
006,Chuck Berry - Chuck LP,vinilos/Chuck Berry - Chuck LP.jpg,1988,19.90,2XLP,HIP HOP,VINILO,"Now available to cherish on vinyl is Chuck Berry's last studio record featuring the rockin’-as-ever single Big Boys. Actively making music since the 1950s, Berry first announced Chuck's 2017 release on his 90th birthday, just weeks before passing away. The legendary musician who laid the groundwork for rock and roll, Berry was among the first musicians to be inducted into the Rock and Roll Hall of Fame upon its opening in 1986, is included on several of Rolling Stone's Greatest Of All Time lists + was elected to contribute the sole rock and roll song to the Voyager Golden Record - a condensed sampling of all of human culture intended for educational use by any extra-terrestrials that may find it! 2017, Dualtone Music Group.",Product Sku: 43191311 ; Color Code: 001
007,David Bowie - The Rise And Fall Of Ziggy Stardust And The Spiders From Mars LP,vinilos/David Bowie - The Rise And Fall Of Ziggy Stardust And The Spiders From Mars LP.jpg,1977,35.00,XLP,HIP HOP,VINILO,"Based on the story of a fictional rock star named Ziggy Stardust, The Rise And Fall Of Ziggy Stardust And The Spiders From Mars is David Bowie's 5th studio album. Available here on high-quality 180g vinyl. 2016, Rhino/Parlophone.",Product Sku: 38888491 ; Color Code: 001
008,Fleetwood Mac - Rumours LP,vinilos/Fleetwood Mac - Rumours LP.jpg,1975,25.00,2XLP,HIP HOP,VINILO,"Knuckle Puck's Shapeshifter album pressed to just 500 copies of limited edition yellow vinyl available only right here at UO! The second studio album from the Chicago pop-punk band features the single Gone and comes complete with an MP3 digital download card. 2017, Rise Records.",Product Sku: 44643567 ; Color Code: 072
009,Frank Sinatra - Songs for Swingin' Lovers! LP,vinilos/Frank Sinatra - Songs for Swingin' Lovers! LP.jpg,1970,21.80,XLP,HIP HOP,VINILO,"Frank Sinatra's romantic masterpieces, arranged and conducted by Nelson Riddle. Originally released in 1956 and celebrating its 60th anniversary in 2016, Songs For Swingin' Lovers features classic standards and signature Sinatra recordings including I've Got You Under My Skin, Love Is Here To Stay and You Make Me Feel So Young. 2016, Capitol.",Product Sku: 38627998 ; Color Code: 001
010,Guns N' Roses - Appetite For Destruction LP,vinilos/Guns N' Roses - Appetite For Destruction LP.jpg,2017,29.00,XLP,HIP HOP,VINILO,"The debut studio LP from the legendary Guns N' Roses, ""Appetite for Destruction"" was originally released in 1987. Available here on vinyl, because it's still completely amazing. 2008, Interscope.**",Product Sku: 29945730 ; Color Code: 001
